Dcc, 10:54:08,035 	 INFO  	 Current state: Relaxed 		
Dcc, 10:54:08,040 	 INFO  	 start receiving via Hardware 		
Dcc, 10:54:09,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:09,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:09,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:09,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:10,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:10,040 	 DEBUG 	 AC 4: added token -> available tokens: 1 		
Dcc, 10:54:10,040 	 DEBUG 	 AC 6: added token -> available tokens: 1 		
Dcc, 10:54:10,040 	 DEBUG 	 AC 0: added token -> available tokens: 1 		
Dcc, 10:54:10,040 	 DEBUG 	 AC 1: added token -> available tokens: 1 		
Dcc, 10:54:11,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:11,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:11,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:11,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:12,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:12,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:12,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:12,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:12,039 	 DEBUG 	 AC 4: added token -> available tokens: 2 		
Dcc, 10:54:12,039 	 DEBUG 	 AC 6: added token -> available tokens: 2 		
Dcc, 10:54:12,039 	 DEBUG 	 AC 0: added token -> available tokens: 2 		
Dcc, 10:54:12,039 	 DEBUG 	 AC 1: added token -> available tokens: 2 		
Dcc, 10:54:13,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:13,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:13,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:13,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:14,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:14,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:14,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:14,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:14,039 	 DEBUG 	 AC 4: added token -> available tokens: 3 		
Dcc, 10:54:14,039 	 DEBUG 	 AC 6: added token -> available tokens: 3 		
Dcc, 10:54:14,039 	 DEBUG 	 AC 0: added token -> available tokens: 3 		
Dcc, 10:54:14,039 	 DEBUG 	 AC 1: added token -> available tokens: 3 		
Dcc, 10:54:15,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:15,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:15,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:15,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:16,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:16,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:16,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:16,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:16,039 	 DEBUG 	 AC 4: added token -> available tokens: 4 		
Dcc, 10:54:16,039 	 DEBUG 	 AC 6: added token -> available tokens: 4 		
Dcc, 10:54:16,039 	 DEBUG 	 AC 0: added token -> available tokens: 4 		
Dcc, 10:54:16,039 	 DEBUG 	 AC 1: added token -> available tokens: 4 		
Dcc, 10:54:17,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:17,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:17,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:17,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:18,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:18,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:18,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:18,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:18,039 	 DEBUG 	 AC 4: added token -> available tokens: 5 		
Dcc, 10:54:18,039 	 DEBUG 	 AC 6: added token -> available tokens: 5 		
Dcc, 10:54:18,039 	 DEBUG 	 AC 0: added token -> available tokens: 5 		
Dcc, 10:54:18,039 	 DEBUG 	 AC 1: added token -> available tokens: 5 		
Dcc, 10:54:19,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:19,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:19,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:19,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:20,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:20,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:20,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:20,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:20,039 	 DEBUG 	 AC 4: added token -> available tokens: 6 		
Dcc, 10:54:20,040 	 DEBUG 	 AC 6: added token -> available tokens: 6 		
Dcc, 10:54:20,040 	 DEBUG 	 AC 0: added token -> available tokens: 6 		
Dcc, 10:54:20,040 	 DEBUG 	 AC 1: added token -> available tokens: 6 		
Dcc, 10:54:21,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:21,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:21,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:21,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:22,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:22,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:22,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:22,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:22,039 	 DEBUG 	 AC 4: added token -> available tokens: 7 		
Dcc, 10:54:22,039 	 DEBUG 	 AC 6: added token -> available tokens: 7 		
Dcc, 10:54:22,039 	 DEBUG 	 AC 0: added token -> available tokens: 7 		
Dcc, 10:54:22,039 	 DEBUG 	 AC 1: added token -> available tokens: 7 		
Dcc, 10:54:23,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:23,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:23,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:23,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:24,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:24,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:24,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:24,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:24,039 	 DEBUG 	 AC 4: added token -> available tokens: 8 		
Dcc, 10:54:24,039 	 DEBUG 	 AC 6: added token -> available tokens: 8 		
Dcc, 10:54:24,039 	 DEBUG 	 AC 0: added token -> available tokens: 8 		
Dcc, 10:54:24,039 	 DEBUG 	 AC 1: added token -> available tokens: 8 		
Dcc, 10:54:25,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:25,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:25,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:25,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:26,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:26,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:26,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:26,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:26,039 	 DEBUG 	 AC 4: added token -> available tokens: 9 		
Dcc, 10:54:26,039 	 DEBUG 	 AC 6: added token -> available tokens: 9 		
Dcc, 10:54:26,039 	 DEBUG 	 AC 0: added token -> available tokens: 9 		
Dcc, 10:54:26,039 	 DEBUG 	 AC 1: added token -> available tokens: 9 		
Dcc, 10:54:27,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:27,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:27,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:27,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:28,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:28,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:28,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:28,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:28,039 	 DEBUG 	 AC 4: added token -> available tokens: 10 		
Dcc, 10:54:28,039 	 DEBUG 	 AC 6: added token -> available tokens: 10 		
Dcc, 10:54:28,039 	 DEBUG 	 AC 0: added token -> available tokens: 10 		
Dcc, 10:54:28,039 	 DEBUG 	 AC 1: added token -> available tokens: 10 		
Dcc, 10:54:29,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:29,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:29,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:29,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:30,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:30,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:30,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:30,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:30,040 	 DEBUG 	 AC 4: added token -> available tokens: 11 		
Dcc, 10:54:30,040 	 DEBUG 	 AC 6: added token -> available tokens: 11 		
Dcc, 10:54:30,040 	 DEBUG 	 AC 0: added token -> available tokens: 11 		
Dcc, 10:54:30,040 	 DEBUG 	 AC 1: added token -> available tokens: 11 		
Dcc, 10:54:31,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:31,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:31,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:31,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:32,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:32,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:32,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:32,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:32,039 	 DEBUG 	 AC 4: added token -> available tokens: 12 		
Dcc, 10:54:32,039 	 DEBUG 	 AC 6: added token -> available tokens: 12 		
Dcc, 10:54:32,039 	 DEBUG 	 AC 0: added token -> available tokens: 12 		
Dcc, 10:54:32,039 	 DEBUG 	 AC 1: added token -> available tokens: 12 		
Dcc, 10:54:33,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:33,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:33,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:33,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:34,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:34,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:34,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:34,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:34,040 	 DEBUG 	 AC 4: added token -> available tokens: 13 		
Dcc, 10:54:34,040 	 DEBUG 	 AC 6: added token -> available tokens: 13 		
Dcc, 10:54:34,040 	 DEBUG 	 AC 0: added token -> available tokens: 13 		
Dcc, 10:54:34,040 	 DEBUG 	 AC 1: added token -> available tokens: 13 		
Dcc, 10:54:35,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:35,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:35,039 	 DEBUG 	 dccInfo sent 		
