Ldm, 10:56:10,585 	 INFO  	 Opened database successfully 		
Ldm, 10:56:11,399 	 DEBUG 	 CAM received 		
Ldm, 10:56:11,399 	 DEBUG 	 camInfo received 		
Ldm, 10:56:11,399 	 DEBUG 	 camInfo received 		
Ldm, 10:56:11,400 	 DEBUG 	 waiting for request 		
Ldm, 10:56:11,400 	 DEBUG 	 CAM received 		
Ldm, 10:56:11,670 	 DEBUG 	 camInfo received 		
Ldm, 10:56:11,671 	 DEBUG 	 CAM received 		
Ldm, 10:56:12,171 	 DEBUG 	 camInfo received 		
Ldm, 10:56:12,171 	 DEBUG 	 CAM received 		
Ldm, 10:56:12,672 	 DEBUG 	 camInfo received 		
Ldm, 10:56:12,672 	 DEBUG 	 CAM received 		
Ldm, 10:56:13,173 	 DEBUG 	 camInfo received 		
Ldm, 10:56:13,173 	 DEBUG 	 CAM received 		
Ldm, 10:56:13,674 	 DEBUG 	 camInfo received 		
Ldm, 10:56:13,674 	 DEBUG 	 CAM received 		
Ldm, 10:56:14,175 	 DEBUG 	 camInfo received 		
Ldm, 10:56:14,176 	 DEBUG 	 CAM received 		
Ldm, 10:56:14,676 	 DEBUG 	 camInfo received 		
Ldm, 10:56:14,676 	 DEBUG 	 CAM received 		
Ldm, 10:56:15,177 	 DEBUG 	 camInfo received 		
Ldm, 10:56:15,177 	 DEBUG 	 CAM received 		
Ldm, 10:56:15,677 	 DEBUG 	 camInfo received 		
Ldm, 10:56:15,678 	 DEBUG 	 CAM received 		
Ldm, 10:56:16,178 	 DEBUG 	 camInfo received 		
Ldm, 10:56:16,178 	 DEBUG 	 CAM received 		
Ldm, 10:56:16,679 	 DEBUG 	 camInfo received 		
Ldm, 10:56:16,680 	 DEBUG 	 CAM received 		
Ldm, 10:56:16,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:16,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:16,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:16,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:17,180 	 DEBUG 	 camInfo received 		
Ldm, 10:56:17,180 	 DEBUG 	 CAM received 		
Ldm, 10:56:17,681 	 DEBUG 	 camInfo received 		
Ldm, 10:56:17,681 	 DEBUG 	 CAM received 		
Ldm, 10:56:17,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:17,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:17,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:17,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:18,182 	 DEBUG 	 camInfo received 		
Ldm, 10:56:18,182 	 DEBUG 	 CAM received 		
Ldm, 10:56:18,682 	 DEBUG 	 camInfo received 		
Ldm, 10:56:18,683 	 DEBUG 	 CAM received 		
Ldm, 10:56:18,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:18,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:18,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:18,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:19,183 	 DEBUG 	 camInfo received 		
Ldm, 10:56:19,184 	 DEBUG 	 CAM received 		
Ldm, 10:56:19,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:19,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:19,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:19,918 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:20,185 	 DEBUG 	 camInfo received 		
Ldm, 10:56:20,185 	 DEBUG 	 CAM received 		
Ldm, 10:56:20,686 	 DEBUG 	 camInfo received 		
Ldm, 10:56:20,687 	 DEBUG 	 CAM received 		
Ldm, 10:56:20,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:20,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:20,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:20,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:21,188 	 DEBUG 	 camInfo received 		
Ldm, 10:56:21,188 	 DEBUG 	 CAM received 		
Ldm, 10:56:21,689 	 DEBUG 	 camInfo received 		
Ldm, 10:56:21,690 	 DEBUG 	 CAM received 		
Ldm, 10:56:21,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:21,916 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:21,917 	 DEBUG 	 dccInfo received 		
Ldm, 10:56:21,917 	 DEBUG 	 dccInfo received 		
